id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
101236,100266,local_municipality,MP323,municipal_code,Umjindi,,,,,,,,,,,,,-25.7485499,30.9140799,2024-03-27T05:03:21.484990+00:00
101237,100571,district_municipality,DC27,municipal_code,uMkhanyakude,,,,,,,,,,,,,-27.6174011,31.8193068,2024-03-27T05:03:20.253811+00:00
101238,100306,town,,,Umkomaas,,,,,,,,,,,4170,4170,-30.2090036,30.7897212,2024-03-27T05:03:19.754793+00:00
101239,101259,local_municipality,KZN284,municipal_code,uMlalazi,,,,,,,,,,,,,-28.8987555,31.3154750,2024-03-27T05:03:20.570869+00:00
101240,100306,town,,,Umlazi,,,,,,,,,,,4066,4031,-29.9678308,30.8665906,2024-03-27T05:03:19.760923+00:00
101241,101233,local_municipality,KZN222,municipal_code,uMngeni,,,,,,,,,,,,,-29.4399957,29.9623446,2024-03-27T05:03:20.202475+00:00
101242,101233,local_municipality,KZN221,municipal_code,uMshwathi,,,,,,,,,,,,,-29.3826588,30.4799853,2024-03-27T05:03:20.218812+00:00
101243,100985,local_municipality,NC072,municipal_code,Umsobomvu,,,,,,,,,,,,,-30.8036044,24.8219329,2024-03-27T05:03:22.354452+00:00
101244,100409,town,,,Umtentweni,,,,,,,,,,,4235,4235,-30.7178373,30.4580826,2024-03-27T05:03:20.037544+00:00
101245,101258,local_municipality,KZN234,municipal_code,Umtshezi,,,,,,,,,,,,,-28.9241551,29.7799232,2024-03-27T05:03:20.490453+00:00
101246,101224,local_municipality,KZN214,municipal_code,uMuziwabantu,,,,,,,,,,,,,-30.6322558,29.7822453,2024-03-27T05:03:20.097408+00:00
101247,101252,local_municipality,KZN245,municipal_code,Umvoti,,,,,,,,,,,,,-29.0308219,30.5645187,2024-03-27T05:03:20.367935+00:00
101248,101111,local_municipality,KZN435,municipal_code,Umzimkhulu,,,,,,,,,,,,,-30.2767370,29.5544836,2024-03-27T05:03:19.918880+00:00
101249,101248,town,,,Umzimkulu,,,,,,,,,,,,3297,-30.2658280,29.9276458,2024-03-27T05:03:19.931713+00:00
101250,100017,local_municipality,EC442,municipal_code,Umzimvubu,,,,,,,,,,,,,-30.7898887,28.8847353,2024-03-27T05:03:17.326246+00:00
101251,100409,town,,,Umzinto,,,,,,,,,,,4200,4200,-30.3036840,30.6614194,2024-03-27T05:03:20.043787+00:00
101252,100571,district_municipality,DC24,municipal_code,uMzinyathi,,,,,,,,,,,,,-28.6032986,30.2576760,2024-03-27T05:03:20.310562+00:00
101253,101224,local_municipality,KZN213,municipal_code,Umzumbe,,,,,,,,,,,,,-30.4865324,30.2433920,2024-03-27T05:03:20.110290+00:00
101254,100409,town,,,Umzumbe,,,,,,,,,,,4225,4225,-30.6235967,30.5361543,2024-03-27T05:03:20.047661+00:00
101255,100565,town,,,Underberg,,,,,,,,,,,,3257,-29.7953692,29.4863753,2024-03-27T05:03:19.895991+00:00
101256,100347,town,,,Uniondale,,,,,,,,,,,6460,6460,-33.6588941,23.1200147,2024-03-27T05:03:23.363984+00:00
101257,101353,local_municipality,KZN262,municipal_code,uPhongolo,,,,,,,,,,,,,-27.5013132,31.3751839,2024-03-27T05:03:20.735770+00:00
101258,100571,district_municipality,DC23,municipal_code,uThukela,,,,,,,,,,,,,-28.7087015,29.3829485,2024-03-27T05:03:20.391606+00:00
101259,100571,district_municipality,DC28,municipal_code,uThungulu,,,,,,,,,,,,,-28.7419778,31.3012500,2024-03-27T05:03:20.499229+00:00
101260,100605,town,,,Utlwanang,,,,,,,,,,,,2784,-27.8930006,25.1223489,2024-03-27T05:03:22.807785+00:00
101261,100279,town,,,Utrecht,,,,,,,,,,,2980,2980,-27.6642259,30.3030861,2024-03-27T05:03:19.596013+00:00
101262,100409,town,,,Uvongo,,,,,,,,,,,4270,4270,-30.8338278,30.3801203,2024-03-27T05:03:20.051462+00:00
101263,100754,town,,,Vaal Marina,,,,,,,,,,,,1945,-26.8765280,28.2256915,2024-03-27T05:03:19.450442+00:00
101264,100285,town,,,Vanderbijlpark,,,,,,,,,,,1911,1900,-26.7152793,27.7790900,2024-03-27T05:03:19.414518+00:00
101265,101046,town,,,Vanderkloof,,,,,,,,,,,8771,8771,-30.0013212,24.7407318,2024-03-27T05:03:22.286488+00:00
101266,100912,town,,,Van Reenen,,,,,,,,,,,,3372,-28.3757391,29.3796171,2024-03-27T05:03:20.483044+00:00
101267,100727,town,,,Vanrhynsdorp,,,,,,,,,,,8170,8170,-31.6094930,18.7396888,2024-03-27T05:03:23.747712+00:00
101268,100481,town,,,Vanwyksvlei,,,,,,,,,,,7655,,-30.3509321,21.8113652,2024-03-27T05:03:22.266207+00:00
101269,100461,town,,,Van Zylsrus,,,,,,,,,,,,8467,-26.8781371,22.0497285,2024-03-27T05:03:22.044359+00:00
101270,100073,town,,,Velddrif,,,,,,,,,,,7365,7365,-32.7772295,18.1555070,2024-03-27T05:03:23.666464+00:00
101271,100722,town,,,Ventersburg,,,,,,,,,,,9450,9450,-28.0849579,27.1388914,2024-03-27T05:03:18.540519+00:00
101273,101272,town,,,Ventersdorp,,,,,,,,,,,2710,2710,-26.3168483,26.8055743,2024-03-27T05:03:22.746548+00:00
101272,100240,local_municipality,NW401,municipal_code,Ventersdorp,,,,,,,,,,,,,-26.3217826,26.6298920,2024-03-27T05:03:22.735324+00:00
101274,100341,town,,,Venterstad,,,,,,,,,,,9798,9798,-30.7737045,25.7953504,2024-03-27T05:03:18.131251+00:00
