place_type,place_code,code_type,eng,street_code,latitude,longitude
town,,,Park Rynie,,-30.3181204,30.7310633
town,,,Parow,7500,-33.8995078,18.5775949
suburb,,,Parow East,7500,-33.9042762,18.5954381
suburb,,,Parow North,7500,-33.8887406,18.5748276
suburb,,,Parow Valley,7500,-33.9131587,18.5892064
town,,,Parys,9585,-26.9102945,27.4563278
town,,,Patensie,6335,-33.7571255,24.809047
town,,,Paternoster,,-32.8117313,17.8923885
town,,,Paterson,6130,-33.4384351,25.9673961
town,,,Paulpietersburg,3180,-27.4242118,30.8119498
town,,,Paul Roux,9800,-28.2965553,27.9536667
town,,,Paulshoek,,-30.3674721,18.2535202
town,,,Pearly Beach,7220,-34.6616807,19.4912244
town,,,Pearston,5860,-32.5810928,25.1374756
town,,,Peddie,5640,-33.196451,27.108799
town,,,Pefferville,5209,-33.0101782,27.8805106
town,,,Pella,8891,-29.0336907,19.1526976
town,,,Pellsrus,6330,-34.0613658,24.9167847
town,,,Penge,,-24.3759081,30.2892909
town,,,Pennington,,-30.3727411,30.6953167
town,,,Perdekop,2465,-27.1642943,29.6239622
town,,,Petrusburg,9932,-29.119896,25.4156225
town,,,Petrus Steyn,9640,-27.6545064,28.1236873
town,,,Petrusville,8770,-27.6545064,28.1236873
town,,,Petsana,9810,-27.8031108,28.4483166
town,,,Phalaborwa,1389,-23.9646149,31.0832996
town,,,Philandersbron,8811,-26.8083438,20.0912929
town,,,Philippolis,9970,-30.2648928,25.2689914
town,,,Phiritona,9651,-27.2653446,27.9711928
local_municipality,NC094,municipal_code,Phokwane,,-27.805733,24.7067362
local_municipality,FS195,municipal_code,Phumelela,,-27.6538746,28.9682242
town,,,Phuthaditjhaba,9869,-28.5463996,28.8119577
town,,,Pienaarsrivier,,-25.2135965,28.2942317
city,,,Pietermaritzburg,3201,-29.6205137,30.3174453
town,,,Piet Plessis,,-26.1627724,24.4060805
town,,,Piet Retief,2380,-27.0170997,30.799772
town,,,Piketberg,7320,-32.9026859,18.7557503
town,,,Pilgrim's Rest,,-24.8990404,30.7504603
town,,,Pine Ridge,,-25.8179676,29.1983338
town,,,Pinetown,3610,-29.8389533,30.8370193
town,,,Pirie,,-32.7925478,27.2458361
local_municipality,MP304,municipal_code,Pixley ka Seme,,-27.076944,29.8157228
district_municipality,DC7,municipal_code,Pixley ka Seme,,-30.1064757,22.3996177
suburb,,,Plattekloof,7500,-33.8721941,18.5841428
town,,,Plettenberg Bay,6600,-34.0610798,23.3645104
town,,,Pniel,7681,-33.8911298,18.9572379
town,,,Pofadder,8890,-29.1242313,19.3915203
city,,,Polokwane,699,-23.9014052,29.4104527
local_municipality,LIM354,municipal_code,Polokwane,,-23.9260008,29.3163262
town,,,Pomeroy,,-28.5578582,30.427378
town,,,Pomfret,,-25.8243869,23.5231254
town,,,Pongola,3170,-27.3848372,31.6175223
town,,,Port Alfred,6170,-33.590499,26.8770872
town,,,Port Edward,4295,-31.0255928,30.2168319
town,,,Porterville,6810,-33.0150528,18.9900434
town,,,Port Nolloth,8280,-29.2585327,16.8740876
town,,,Port St Johns,5120,-31.6318887,29.5312708
local_municipality,EC154,municipal_code,Port St. Johns,,-31.5354903,29.2915933
town,,,Postmasburg,8420,-28.3139627,23.0550719
town,,,Potchefstroom,2531,-26.6947631,27.080836
town,,,Potgietersrus,601,-24.176721,28.9892578
city,,,Pretoria,2,-25.7234832,28.1565159
local_municipality,WC053,municipal_code,Prince Albert,,-33.0383116,21.9022216
town,,,Prince Albert,6930,-33.220525,22.0195294
town,,,Prince Alfred Hamlet,6835,-33.2840598,19.3237872
town,,,Pringle Bay,,-34.3481032,18.8297756
town,,,Promosa,2531,-26.6997632,27.0296213
town,,,Pudimoe,8581,-27.397691,24.7147242
town,,,Pumula,4235,-30.6403053,30.5271386
town,,,Qalabotjha,9840,-27.0205275,28.6216157
town,,,Qamata,,-31.9766001,27.4345101
town,,,Qibing,9944,-29.7163823,27.0172401
town,,,Qolora,,-32.5731438,28.2831174
town,,,Queensburgh,4093,-29.8788477,30.894107
town,,,Queenstown,5319,-31.9126024,26.8567968
town,,,Qumbu,5180,-31.1619215,28.8693211
town,,,Rabie Ridge,1632,-26.0250844,28.1693641
town,,,Raithby,7130,-34.0280794,18.7988779
town,,,Ramokokastad,195,-25.1575997,27.4237683
town,,,Ramotse,407,-25.3698183,28.2839171
local_municipality,NW385,municipal_code,Ramotshere Moiloa,,-25.2359548,25.7582424
town,,,Ramsgate,4285,-30.8686925,30.3542836
town,,,Randburg,2194,-26.1490259,27.9828026
local_municipality,GT482,municipal_code,Randfontein,,-26.1914621,27.5071708
town,,,Randvaal,1961,-26.4897095,28.0497554
town,,,Ratanang,8710,-29.1184541,24.7537177
town,,,Ratanda,1441,-26.5580391,28.3162052
local_municipality,NW381,municipal_code,Ratlou,,-26.1085965,24.851502
town,,,Rawsonville,6845,-33.6821095,19.3124737
town,,,Rayton,1001,-25.7411534,28.5320584
town,,,Reagile,348,-25.8503236,26.880947
town,,,Rebone,617,-23.4286475,28.6022541
town,,,Redcliffe,4339,-29.6408576,31.0140123
town,,,Reddersburg,9904,-29.6508804,26.1680644
town,,,Redelinghuys,,-32.4793794,18.533409
town,,,Reeston,5247,-32.9811503,27.7900432
town,,,Refilwe,1003,-25.6396136,28.5231489
town,,,Regorogile,387,-24.578964,27.380056
town,,,Reitz,9810,-27.8003251,28.4250468
town,,,Reivilo,8595,-27.5653726,24.1767761
town,,,Relebohile,9986,-29.7433682,24.779391
local_municipality,NC075,municipal_code,Renosterberg,,-30.256895,24.2548817
town,,,Rethabile,122,-25.7102412,28.3757279
town,,,Rethabiseng,1026,-25.7211193,28.7118118
town,,,Rheenendal,6576,-33.9481795,22.9325096
town,,,Rhodes,9787,-30.7956864,27.9613534
town,,,Richmond,3780,-29.874536,30.272165
local_municipality,KZN227,municipal_code,Richmond,,-29.8993543,30.1924382
local_municipality,NC061,municipal_code,Richtersveld,,-28.7157798,16.7237424
town,,,Riebeek East,5805,-33.2060478,26.1550015
town,,,Riebeek West,,-33.3512982,18.867158
town,,,Riverlands,7353,-33.5266797,18.5931274
town,,,Riversdale,6670,-34.091492,21.2521256
town,,,Riviersonderend,7250,-34.149338,19.9147409
town,,,Robben Island,,-33.8047481,18.3663283
town,,,Robertson,6705,-33.8025341,19.8830038
town,,,Rodenbeck,,-29.1838691,26.2810266
town,,,Roedtan,,-24.5990108,29.0778684
